FullDesID,CourseID,FullDes
1,1,"Learn Flutter and Dart from the ground up, step-by-step"
2,1,Build engaging native mobile apps for both Android and iOS
3,1,"Use features like Google Maps, the device camera, authentication and much more!"
4,1,Learn how to upload images and how to send manual and automated push notifications
5,1,Learn all the basics without stopping after them: Dive deeply into Flutter & Dart and become an advanced developer
6,2,"Build beautiful, fast and native-quality apps with Flutter"
7,2,Become a fully-fledged Flutter developer
8,2,Build iOS and Android apps with just one codebase
9,2,Build iOS and Android apps using just one programming language (Dart)
10,2,Build a portfolio of beautiful Flutter apps to impress any recruiter
11,2,Understand all the fundamental concepts of Flutter development
12,2,Become proficient in one of the fastest growing technologies
13,3,Build beautiful multi-screen apps with Flutter
14,3,Understand the different approaches for loading and maintaining data in Flutter apps
15,3,Create and publish open source projects using Dart
16,3,Learn how to build offline-enabled apps with incredibly efficient data loading
17,3,Comprehend the best method for reading the incredible amount of Flutter documentation
18,3,Store long-term data on a user's physical device using SQLite
19,3,Master streams and understand reactive programming to create Flutter apps
20,4,Be ABLE to Build Any iOS and Android App You Want
21,4,MASTER Dart and Flutter Framework
22,4,BUILD Full-fledged Apps for Your Startup or Business
23,4,CREATE a Portfolio of Apps to Apply for Development Job
24,4,WORK as A Cross-Platform Mobile Developer Who can Develop iOS and Android Apps
25,4,GAIN a Competitive Advantage in the Workplace as a Flutter Mobile Developer
26,5,"Build a complete, real-world app with Flutter & Firebase"
27,5,Write iOS & Android apps with a single codebase
28,5,Write production-ready code following best practices and become a competent Flutter developer
29,5,Fast-track your Flutter learning with practical tips and proven techniques
30,6,Build beautiful mobile and web UI with Flutter and Dart
31,6,Learn how to implement basic and advanced Flutter widgets
32,6,Design and implement your own custom widgets
33,6,Visualize data with Flutter
34,7,Developing Android & iOS apps using Dart & Flutter
35,7,Design Professional Looking Apps
36,7,Design and Develop Enterprise Apps
37,7,"Develop eCommerce & Blog App, API & App Dashboard - using Flutter & Laravel & MySQL, Sqflite, Shared preferences and Stripe"
38,7,"Develop News App, API & App Dashboard - using Flutter & NodeJS/ExpressJS & MySQL and Realtime notification using Firebase Cloud Message"
39,7,"Develop a todo app using Dart, Flutter and Sqflite"
40,7,Publish Apps at Play Store and App Store
41,7,Monetize Your App
42,8,Make pretty much any Android app you like (your only limit is your imagination)
43,8,Submit your apps to Google Play and generate revenue with Google Pay and Google Ads
44,8,"Become a professional app developer, take freelance gigs and work from anywhere in the world"
45,8,"Bored with the same old, same old? Apply for a new job in a software company as an Android developer"
46,9,Make pretty much any Android app you like (your only limit is your imagination)
47,9,Submit your apps to Google Play and generate revenue with Google Pay and Google Ads
48,9,"Become a professional app developer, take freelance gigs and work from anywhere in the world"
49,9,"Bored with the same old, same old? Apply for a new job in a software company as an Android developer"
50,10,You’re taught step by step HOW to build Android 7 apps for Google’s Nougat platform that will work on older Android versions.
51,10,"With each comprehensive step, the WHY you’re doing it is explained."
52,10,You’ll have EXPERT LEVEL knowledge of the Java programming language and know exactly how each process of Android Nougat development works.
53,10,"The course is continually UPDATED, so you’ll learn the very latest as Android Nougat evolves."
54,10,"NEW CONTENT is always being added, and you're covered with full lifetime access to the course."
55,10,SUPPORT is mind blowing – questions you have are answered that day.
56,10,The EXPERTISE to be an Android Nougat app developer as taught by the best.
57,10,The skills you’ll learn are in HIGH DEMAND. You’ve learned to program like an expert. Go get that job!
58,11,Master Java Programming Language
59,11,Build Dynamic Android Apps From Scratch
60,11,Master Android Development
61,11,"Build Several Android Apps with the latest Android API's: ROOM, Firebase, Firestore and ML Kit Face Recognition"
62,11,Learn Android Development Best Practices
63,11,Learn Android User Interface Design
64,12,Build any Android app you want
65,12,You'll have a portfolio of apps to apply for jr. developer jobs
66,12,Build apps for your business
67,12,You'll be able to work as a freelance Android contractor
68,13,Learn the core Android app development and Kotlin skills to build real Android apps.
69,13,Learn how to target current and older versions of Android when writing your apps.
70,13,Understand how to create Android apps using Kotlin.
71,13,Be able to apply for Android app development roles.
72,14,Apply for your dream job as an Android Developer
73,14,"Build complex, production ready Java Android Applications"
74,14,Build server based Android Applications with Paypal integration from scratch
75,14,Build a fantastic resume in order to show to employers
76,15,"Become an advanced, confident, and modern JavaScript developer from scratch"
77,15,Build 6 beautiful real-world projects for your portfolio (not boring toy apps)
78,15,Become job-ready by understanding how JavaScript really works behind the scenes
79,15,"How to think and work like a developer: problem-solving, researching, workflows"
80,16,Grasp how Javascript works and it's fundamental concepts
81,16,"Write solid, good Javascript code"
82,16,"Understand advanced concepts such as closures, prototypal inheritance, IIFEs, and much more."
83,16,Drastically improve your ability to debug problems in Javascript.
84,17,Modular learning sections & 10 real world projects with pure JavaScript
85,17,Master the DOM (document object model) WITHOUT jQuery
86,17,"Asynchronous programming with Ajax, Fetch API, Promises & Async / Await"
87,17,OOP including ES5 prototypes & ES2015 classes
88,18,JavaScript from scratch - beginner to advanced
89,18,All core features and concepts you need to know in modern JavaScript development
90,18,Everything you need to become a JavaScript expert and apply for JavaScript jobs
91,18,Project-driven learning with plenty of examples
92,18,"All about variables, functions, objects and arrays"
93,18,Object-oriented programming
94,18,"Deep dives into prototypes, JavaScript engines & how it works behind the scenes"
95,18,Manipulating web pages (= the DOM) with JavaScript
96,18,"Event handling, asynchronous coding and Http requests"
97,18,"Meta-programming, performance optimization, memory leak busting"
98,18,"Testing, security and deployment"
99,18,And so much more!
100,19,Learn JavaScript by building three real-world web applications
101,19,Gain a deep understanding of how JavaScript works behind the scenes
102,19,Explore the latest cutting-edge features from ES6 and ES7
103,19,Test your skills and gain confidence by completing over 80 coding challenges
104,19,Learn how to deploy your application to the web so you can share them with everyone
105,19,Learn how to use Promises and Async/Await with asynchronous JavaScript
106,19,Get more done by learning how to debug and fix your code when things go wrong
107,19,"Get access to a free 80 page PDF guide with lecture notes, code samples, and documentation links"
108,20,Advanced JavaScript Practices
109,20,Object Oriented Programming
110,20,Functional Programming
111,20,Scope and Execution Context
112,20,Inheritance + Prototype Chain
113,20,"Latest features: ES6, ES7, ES8, ES9, ES10, ES2020"
114,21,Learn everything there is to know about Javascript - from scratch!
115,21,Build beautiful web apps to add to your portfolio
116,21,Get job ready with a deep understanding of the internals of JS
117,21,Work with Node JS and Express
118,21,Create a full E-Commerce app complete with authentication
119,21,Automate testing your code by creating your own custom testing framework!
120,22,"Build powerful, fast, user-friendly and reactive web apps"
121,22,Provide amazing user experiences by leveraging the power of JavaScript with ease
122,22,Apply for high-paid jobs or work as a freelancer in one the most-demanded sectors you can find in web dev right now
123,22,Learn React Hooks & Class-based Components
124,23,Build amazing single page applications with React JS and Redux
125,23,Master fundamental concepts behind structuring Redux applications
126,23,Realize the power of building composable components
127,23,"Be the engineer who explains how Redux works to everyone else, because you know the fundamentals so well"
128,23,"Become fluent in the toolchain supporting React, including NPM, Webpack, Babel, and ES6/ES2015 Javascript syntax"
129,24,"Build a scaleable API with authentication using Express, Mongo, and Passport"
130,24,Learn the differences between cookie-based and token-based authentication
131,24,Figure out what a Higher Order Component and how to use it to write dramatically less code
132,24,Write Redux middleware from scratch to uncover what is happening behind the scenes with Redux
133,24,Set up your own testing environment with Jest and Enzyme
134,24,Realize the power of building composable components
135,25,"Create boilerplate starter projects with React, Redux, Express, and Mongo"
136,25,Understand common web technologies and design patterns to connect them together
137,25,Master deployment techniques between the production and development environments
138,25,Make an app with Google OAuth authentication
139,25,Learn to effectively create and send emails from a backend server
140,25,Accept and process credit card payments from users
141,26,"Build, test, and launch React apps"
142,26,Use cutting-edge ES6/ES7 JavaScript
143,26,Setup authentication and user accounts
144,26,Deploy your React apps live to the web
145,26,Learn the latest React libraries and tools
146,26,"Master React, Redux, React-Router, and more"
147,27,Build amazing single page applications with React JS and GraphQL
148,27,Master fundamental concepts behind structuring GraphQL servers
149,27,Realize the power of building flexible data schemas
150,27,"Be the engineer who explains how GraphQL works to everyone else, because you know the fundamentals so well"
151,27,"Become fluent in the ecosystem supporting GraphQL, including the differences between Apollo and Relay"
152,28,React Hooks! (My favorite part of React!)
153,28,The new Context API
154,28,State management w/ useReducer + use Context (Redux Lite)
155,28,"The basics of React (props, state, etc)"
156,28,Master React Router
157,28,"Build tons of projects, each with a beautiful interface"
158,29,"Real-world skills to build real-world websites: professional, beautiful and truly responsive websites"
159,29,A huge project that will teach you everything you need to know to get started with HTML5 and CSS3
160,29,The proven 7 real-world steps from complete scratch to a fully functional and optimized website
161,29,Simple-to-use web design guidelines and tips to make your website stand out from the crowd
162,30,Tons of modern CSS techniques to create stunning designs and effects
163,30,"Advanced CSS animations with @keyframes, animation and transition"
164,30,"How CSS works behind the scenes: the cascade, specificity, inheritance, etc."
165,30,"CSS architecture: component-based design, BEM, writing reusable code, etc."
166,31,Create any website layout you can imagine
167,31,Support any device size with Responsive (mobile-friendly) Design
168,31,Add tasteful animations and effects with CSS3
169,31,Use common vocabulary from the design industry
170,32,Build beautiful websites which don't just contain great content but also look good
171,32,Use basic as well as advanced CSS features
172,32,Understand the concepts and theory behind CSS and certain CSS features
173,33,Build Multiple High Quality Website & UI Projects
174,33,HTML5 Semantic Layout & CSS Fundamentals
175,33,Flexbox & CSS Grid Projects
176,33,"CSS Variables, Transitions, Dropdowns, Overlays & More"
177,33,Website Hosting & Deployment With FTP & Git
178,33,All Skill Levels
179,34,"By the end of this course, you will have a basic & thorough understanding of HTML & CSS"
180,34,"Upon completion, you will have coded a handful of useful HTML & CSS examples"
181,34,"In the last section of this course, you focus on building a beautiful, semantic, HTML & CSS web page"
182,34,"By the end of this course, you will have impressed yourself, and will be able to hit the ground running with your newly acquired skillset"
183,34,Start building beautiful websites
184,34,"Build a portfolio website, so you can highlight your best web work"
185,34,Get the ball rolling for a career in web design
186,35,"Project based teaching to sharpen your HTML, CSS & JavaScript skills"
187,35,Perfect for beginners looking for things to build unique projects in a short timeframe
188,35,"Modern styling with flexbox, CSS animations, custom properties, etc"
189,35,"DOM manipulation, events, array methods, HTTP requests & more"
